Date,Open,High,Low,Close,Volume
1/21/2025,432.64,433.2,406.31,424.07,"87,320,891"
1/22/2025,416.81,428,414.59,415.11,"60,963,340"
1/23/2025,416.06,420.73,408.95,412.38,"50,690,594"
1/24/2025,414.45,418.88,405.78,406.58,"56,427,152"
1/27/2025,394.8,406.69,389,397.15,"58,125,512"
1/28/2025,396.91,400.59,386.5,398.09,"48,910,680"
1/29/2025,395.21,398.59,384.48,389.1,"68,033,648"
1/30/2025,410.78,412.5,384.41,400.28,"98,092,883"
1/31/2025,401.53,419.99,401.34,404.6,"83,568,227"
2/3/2025,386.68,389.17,374.36,383.68,"93,732,117"
2/4/2025,382.63,394,381.4,392.21,"57,072,238"
2/5/2025,387.51,388.39,375.53,378.17,"57,614,719"
2/6/2025,373.03,375.4,363.18,374.32,"77,918,234"
2/7/2025,370.19,380.55,360.34,361.62,"70,298,258"
2/10/2025,356.21,362.7,350.51,350.73,"77,514,898"
2/11/2025,345.8,349.37,325.1,328.5,"118,543,398"
2/12/2025,329.94,346.4,329.12,336.51,"105,382,703"
2/13/2025,345,358.69,342.85,355.94,"89,441,523"
2/14/2025,360.62,362,347.5,355.84,"68,277,281"
2/18/2025,355.01,359.1,350.02,354.11,"51,631,699"
2/19/2025,354,367.34,353.67,360.56,"67,094,367"
2/20/2025,361.51,362.3,348,354.4,"45,965,352"
2/21/2025,353.44,354.98,334.42,337.8,"74,058,648"
2/24/2025,338.14,342.4,324.7,330.53,"76,052,320"
2/25/2025,327.03,328.89,297.25,302.8,"134,228,797"
2/26/2025,303.72,309,288.04,290.8,"100,118,305"
2/27/2025,291.16,297.23,280.88,281.95,"101,748,203"
2/28/2025,279.5,293.88,273.6,292.98,"115,697,000"
3/3/2025,300.34,303.94,277.3,284.65,"115,551,398"
3/4/2025,270.93,284.35,261.84,272.04,"126,706,602"
3/5/2025,272.92,279.55,267.71,279.1,"94,042,914"
3/6/2025,272.06,272.65,260.02,263.45,"98,451,570"
3/7/2025,259.32,266.25,250.73,262.67,"102,369,602"
3/10/2025,252.54,253.37,220,222.15,"189,076,891"
3/11/2025,225.31,237.06,217.02,230.58,"174,896,406"
3/12/2025,247.22,251.84,241.1,248.09,"142,215,703"
3/13/2025,248.13,248.29,232.6,240.68,"114,813,508"
3/14/2025,247.31,251.58,240.73,249.98,"100,242,305"
3/17/2025,245.06,245.4,232.8,238.01,"111,900,602"
3/18/2025,228.16,230.1,222.28,225.31,"111,477,602"
3/19/2025,231.61,241.41,229.2,235.86,"111,993,797"
3/20/2025,233.35,238,230.05,236.26,"99,028,273"
3/21/2025,234.99,249.52,234.55,248.71,"132,728,703"
3/24/2025,258.08,278.64,256.33,278.39,"169,079,906"
3/25/2025,283.6,288.2,271.28,288.14,"150,361,500"
3/26/2025,282.66,284.9,266.51,272.06,"156,254,406"
3/27/2025,272.48,291.85,271.82,273.13,"162,572,094"
3/28/2025,275.58,276.1,260.57,263.55,"123,809,398"
3/31/2025,249.31,260.56,243.36,259.16,"134,008,891"
4/1/2025,263.8,277.45,259.25,268.46,"146,486,891"
4/2/2025,254.6,284.99,251.27,282.76,"209,746,300"
